project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by
2003388,UK_Agriculture_Rural_21_loc_W2 10/06/2021,UK_Agriculture_Rural_21_loc_W2,-1.70438,55.2186,06/10/21,30/11/21,None,,None,,2026488,1,Camera Functioning,Knee height,,Parallel,,,,,UK_agricultural_rural_21,,,,,
2003388,NI_Cultra_B2 ,Cultra,-5.7975615,54.650375,27/08/21,28/09/21,None,,None,,2029942,0,Camera Functioning,Other,50cm,Parallel,,,,,NI_Woodland_Farmland_Holywood_21,,,,,
2003388,NI_Cultra_D5,Cultra,-5.7975615,54.650375,31/08/21,28/09/21,None,,Water source,,2029942,1,Camera Functioning,Other,50cm,Parallel,,,,,NI_Woodland_Farmland_Holywood_21,,,,,
2003388,IT_MAXCINE Shrubby vegetation_tuscany_M60 09/01/2022,IT_MAXCINE Shrubby vegetation_tuscany_M60,11.53878,42.832441,01/09/22,31/10/22,None,,None,,2033532,0,Camera Functioning,Knee height,,Parallel,,,,,IT_MAXCINE Shrubby vegetation agricultural_tuscany_21,,,,,
2003388,ws-ugeo-loc4 08/31/2021,ws-ugeo-loc4,9.972282,51.570325,31/08/21,29/10/21,None,,None,,2031444,0,Camera Functioning,Knee height,,Parallel,,,,,DE_forest_goettingen_21,,,,,
2003388,ws-ugeo-loc3 08/27/2021,ws-ugeo-loc3a,9.957614,51.56956,27/08/21,29/10/21,None,,None,,2031443,0,Camera Functioning,Knee height,,Parallel,,,,,DE_forest_goettingen_21,,,,,
2003388,PL_Roztocze_National_Park 09/21/2021,PL_Roztocze_National_Park,23.05619,50.663135,22/09/21,20/10/21,None,,None,,2031442,3,Camera Functioning,Knee height,,Parallel,,,,,PL_Comercial Forests and National Parks,,,,,
2003388,IE_Forest_County Wicklow_21_dep_09e,IE_Forest_County Wicklow_21_loc_09,-6.25732,53.01769,03/09/21,02/10/21,None,,Trail game,,2027921,0,Memory Card,Knee height,,Parallel,,,,,IE_Forest_County Wicklow_21,,,,,
2003388,IE_Forest_County Wicklow_21_dep_09d,IE_Forest_County Wicklow_21_loc_09,-6.25732,53.01769,03/09/21,02/10/21,None,,Trail game,,2027921,0,Memory Card,Knee height,,Parallel,,,,,IE_Forest_County Wicklow_21,,,,,
2003388,IE_Forest_County Wicklow_21_dep_09c,IE_Forest_County Wicklow_21_loc_09,-6.25732,53.01769,03/09/21,02/10/21,None,,Trail game,,2027921,0,Memory Card,Knee height,,Parallel,,,,,IE_Forest_County Wicklow_21,,,,,
2003388,IE_Forest_County Wicklow_21_dep_09b,IE_Forest_County Wicklow_21_loc_09,-6.25732,53.01769,03/09/21,02/10/21,None,,Trail game,,2021497,0,Memory Card,Knee height,,Parallel,,,,,IE_Forest_County Wicklow_21,,,,,
2003388,IE_Forest_County Wicklow_21_dep_09a,IE_Forest_County Wicklow_21_loc_09,-6.25732,53.01769,03/09/21,02/10/21,None,,Trail game,,2027921,0,Memory Card,Knee height,,Parallel,,,,,IE_Forest_County Wicklow_21,,,,,
2003388,PL_Roztocze_National_Park 09/23/2021,PL_Roztocze_National_Park,23.05619,50.663135,22/09/21,25/10/21,None,,None,,2031441,3,Camera Functioning,Knee height,,Parallel,,,,,PL_Comercial Forests and National Parks,,,,,
2003388,IT_MAXCINE Shrubby vegetation_tuscany_M69i_503 09/01/2021,IT_MAXCINE Shrubby vegetation_tuscany_M69i_503,11.5424,42.8469,01/09/21,31/10/21,None,,None,,2031426,0,Camera Functioning,Knee height,,Parallel,,,,,IT_MAXCINE Shrubby vegetation agricultural_tuscany_21,,,,,
2003388,IT_MAXCINE Shrubby vegetation_tuscany_M76 09/01/2021,IT_MAXCINE Shrubby vegetation_tuscany_M76,11.532402,42.920659,01/09/21,31/10/21,None,,None,,2031420,0,Camera Functioning,Knee height,,Parallel,,,,,IT_MAXCINE Shrubby vegetation agricultural_tuscany_21,,,,,
2003388,IT_MAXCINE Shrubby vegetation_tuscany_M75 09/01/2021,IT_MAXCINE Shrubby vegetation_tuscany_M75,11.561911,42.926516,01/09/21,31/10/21,None,,None,,2031417,0,Camera Functioning,Knee height,,Parallel,,,,,IT_MAXCINE Shrubby vegetation agricultural_tuscany_21,,,,,
2003388,IT_MAXCINE Shrubby vegetation_tuscany_M72_500 09/01/2021,IT_MAXCINE Shrubby vegetation_tuscany_M72,11.565802,42.929604,01/09/21,31/10/21,None,,Other,,2031400,0,Camera Functioning,Knee height,,Parallel,,,,,IT_MAXCINE Shrubby vegetation agricultural_tuscany_21,,,,,
2003388,PM31 Rec Espolla nord,PM31 Rec Espolla nord,2.778658,42.169243,28/09/21,04/11/21,None,,Trail game,,2027921,0,Camera Functioning,Chest height,,Pointed Downward,,,,,ES_Rural_Cropland_Pla de Martis_21,,,,,
2003388,22 08/27/2021,ws-ugoe-loc2,9.960037,51.568165,27/08/21,29/10/21,None,,None,,2031391,0,Camera Functioning,Knee height,,Parallel,,,,,DE_forest_goettingen_21,,,,,
2003388,21 08/31/2021,21,9.963618,51.564291,31/08/21,29/10/21,None,,None,,2031387,0,Camera Functioning,Knee height,,Parallel,,,,,DE_forest_goettingen_21,,,,,
2003388,PM33 Casa sud,PM33 Casa sud,2.765725,42.15513,28/09/21,04/11/21,None,,Trail hiking,,2027921,0,Camera Functioning,Knee height,,Parallel,,,,,ES_Rural_Cropland_Pla de Martis_21,,,,,
2003388,PM48 Hípica bosquerós,PM48 Hípica bosquerós,2.761577,42.175637,28/09/21,04/11/21,None,,Trail game,,2027921,0,Camera Functioning,Knee height,,Parallel,,,,,ES_Rural_Cropland_Pla de Martis_21,,,,,
2003388,PM56 Salt de Martís,PM56 Salt de Martís,2.782613,42.175853,28/09/21,04/11/21,None,,Trail game,,2027921,0,Camera Functioning,Chest height,,Pointed Downward,,,,,ES_Rural_Cropland_Pla de Martis_21,,,,,
2003388,PM43 Rec Espolla sud,PM43 Rec Espolla sud,2.770178,42.159788,28/09/21,04/11/21,None,,Trail game,,2027921,0,Camera Functioning,Knee height,,Parallel,,,,,ES_Rural_Cropland_Pla de Martis_21,,,,,
2003388,ES_Wetland_Aiguamolls_Empordà_21_loc_5.1 10/16/2021,ES_Wetland_Aiguamolls_Empordà_21_loc_5.1,3.130413,42.271099,16/10/21,16/11/21,None,,Other,,2027921,1,Camera Functioning,Knee height,,Parallel,,,,,ES_Wetland_Aiguamolls_Empordà_21,,,,,
2003388,PM47 Forest Espolla (costat),PM47 Forest Espolla (costat),2.768466,42.151741,28/09/21,04/11/21,None,,Trail game,,2027921,0,Camera Functioning,Knee height,,Parallel,,,,,ES_Rural_Cropland_Pla de Martis_21,,,,,
2003388,PM20 Camp oliveres,PM20 Camp oliveres,2.78144444,42.17352777,28/09/21,04/11/21,None,,Trail hiking,,2027921,0,Camera Functioning,Knee height,,Parallel,,,,,ES_Rural_Cropland_Pla de Martis_21,,,,,
2003388,PM44 Forest Xiprers,PM44 Forest Xiprers,2.76480555,42.16836111,28/09/21,04/11/21,None,,Trail game,,2027921,0,Camera Functioning,Knee height,,Parallel,,,,,ES_Rural_Cropland_Pla de Martis_21,,,,,
2003388,PM23 Forest Nord,PM23 Forest Nord,2.77675,42.178002,28/09/21,04/11/21,None,,Trail game,,2027921,0,Camera Functioning,Knee height,,Parallel,,,,,ES_Rural_Cropland_Pla de Martis_21,,,,,
2003388,PM28 Marge Aerodrom,PM28 Marge aerodrom,2.77108333,42.17533333,28/09/21,04/11/21,None,,Trail game,,2027921,0,Camera Functioning,Chest height,,Pointed Downward,,,,,ES_Rural_Cropland_Pla de Martis_21,,,,,
2003388,PM49 Arbres Espolla (dins),PM49 Arbres Espolla (a dins),2.765437,42.15043,28/09/21,04/11/21,None,,Trail hiking,,2027921,0,Camera Functioning,Knee height,,Parallel,,,,,ES_Rural_Cropland_Pla de Martis_21,,,,,
2003388,ES_Wetland_Aiguamolls_Empordà_21_loc_4.1 10/07/2021,ES_Wetland_Aiguamolls_Empordà_21_loc_4.1,3.118507,42.274062,07/10/21,16/11/21,None,,Other,,2027921,1,Camera Functioning,Knee height,,Parallel,,,,,ES_Wetland_Aiguamolls_Empordà_21,,,,,
